-1.41638, -1.82723, -0.790485, 1.32911
-1.43979, -1.79043, -0.776478, 1.33311
-1.46234, -1.75252, -0.762233, 1.33672
-1.48402, -1.71351, -0.74775, 1.33992
-1.50477, -1.67341, -0.733027, 1.3427
-1.52456, -1.63219, -0.718062, 1.34504
-1.54336, -1.58987, -0.702855, 1.34694
-1.56112, -1.54643, -0.687403, 1.34839
-1.57779, -1.50188, -0.671704, 1.34936
-1.59334, -1.45621, -0.655757, 1.34984
-1.6077, -1.40942, -0.639559, 1.34982
-1.62084, -1.3615, -0.623108, 1.34927
-1.63269, -1.31246, -0.606401, 1.34819
-1.6432, -1.26229, -0.589435, 1.34655
-1.65229, -1.21098, -0.572208, 1.34432
-1.65992, -1.15854, -0.554716, 1.3415
-1.66599, -1.10497, -0.536957, 1.33804
-1.67044, -1.05026, -0.518925, 1.33392
-1.67318, -0.994418, -0.500619, 1.32912
-1.67412, -0.937445, -0.482032, 1.3236
-1.67316, -0.879344, -0.463162, 1.31733
-1.6702, -0.82012, -0.444003, 1.31026
-1.66511, -0.759781, -0.42455, 1.30236
-1.65778, -0.698338, -0.404799, 1.29357
-1.64805, -0.635804, -0.384742, 1.28386
-1.63578, -0.572199, -0.364376, 1.27315
-1.6208, -0.507545, -0.343692, 1.26138
-1.60291, -0.441875, -0.322684, 1.24848
-1.5819, -0.375228, -0.301346, 1.23436
-1.55752, -0.307653, -0.279669, 1.21894
-1.52951, -0.239216, -0.257645, 1.20209
-1.49755, -0.169999, -0.235267, 1.18371
-1.46129, -0.100109, -0.212527, 1.16363
-1.4203, -0.0296825, -0.189415, 1.14168
-1.3741, 0.041101, -0.165925, 1.11766
-1.32211, 0.112006, -0.142048, 1.09131
-1.26363, 0.182716, -0.11778, 1.06232
-1.19782, 0.252806, -0.0931179, 1.03031
-1.12363, 0.321683, -0.068065, 0.994771
-1.03972, 0.388509, -0.0426344, 0.955054
-0.944354, 0.452056, -0.0168569, 0.910267
-0.835202, 0.510451, 0.00920322, 0.859148
-0.708991, 0.56068, 0.0354156, 0.799807
-0.560872, 0.597519, 0.0615074, 0.729199
-0.383086, 0.610898, 0.0868581, 0.641857
-0.16173, 0.577859, 0.10982, 0.526191
0.132971, 0.427859, 0.124467, 0.349081
0.580818, -0.269329, 0.0871181, -0.07716
