0,1,0.8,0
0.08,1,0.8,-0.0888889
0.16,0.991111,0.792957,-0.176931
0.239296,0.973418,0.779144,-0.263003
0.31721,0.947118,0.759045,-0.346089
0.393115,0.912509,0.733307,-0.425333
0.466445,0.869975,0.702694,-0.500062
0.536715,0.819969,0.668029,-0.569808
0.603518,0.762988,0.630145,-0.634291
0.666532,0.699559,0.589846,-0.693407
0.725517,0.630219,0.547872,-0.747198
0.780304,0.555499,0.504881,-0.795821
0.830792,0.475917,0.461443,-0.83952
0.876936,0.391965,0.418031,-0.878594
0.918739,0.304105,0.375032,-0.913377
0.956243,0.212768,0.332752,-0.944218
0.989518,0.118346,0.291423,-0.971466
1.01866,0.0211993,0.251218,-0.99546
1.04378,-0.0783467,0.212257,-1.01652
1.06501,-0.179999,0.174619,-1.03496
1.08247,-0.283495,0.138348,-1.05104
1.0963,-0.388598,0.103463,-1.06502
1.10665,-0.4951,0.0699594,-1.07713
1.11365,-0.602814,0.0378196,-1.08759
1.11743,-0.711573,0.00701318,-1.09657
1.11813,-0.82123,-0.0224987,-1.10424
1.11588,-0.931653,-0.0507603,-1.11075
1.1108,-1.04273,-0.0778199,-1.11623
1.10302,-1.15435,-0.103728,-1.12079
1.09265,-1.26643,-0.128535,-1.12455
1.0798,-1.37889,-0.152292,-1.12759
1.06457,-1.49164,-0.17505,-1.12999
1.04706,-1.60464,-0.196858,-1.13184
1.02738,-1.71783,-0.217764,-1.13318
1.0056,-1.83114,-0.237813,-1.13407
0.981818,-1.94455,-0.257049,-1.13458
0.956113,-2.05801,-0.275514,-1.13473
0.928561,-2.17148,-0.293248,-1.13458
0.899237,-2.28494,-0.310288,-1.13415
0.868208,-2.39836,-0.326671,-1.13348
0.835541,-2.5117,-0.34243,-1.1326
0.801298,-2.62496,-0.357597,-1.13153
0.765538,-2.73812,-0.372202,-1.13029
0.728318,-2.85115,-0.386274,-1.1289
0.68969,-2.96404,-0.399838,-1.12738
0.649707,-3.07677,-0.412921,-1.12575
0.608415,-3.18935,-0.425547,-1.12402
0.56586,-3.30175,-0.437736,-1.1222
0.522086,-3.41397,-0.449512,-1.1203
0.477135,-3.526,-0.460892,-1.11834
0.431046,-3.63784,-0.471897,-1.11632
0.383856,-3.74947,-0.482543,-1.11425
0.335602,-3.86089,-0.492847,-1.11214
0.286317,-3.97211,-0.502826,-1.11
0.236035,-4.08311,-0.512493,-1.10782
0.184785,-4.19389,-0.521862,-1.10563
